ox_code	src_code	population	country	region	contributor	contact	year	m_s	sex	n_sequences	mean_coverage	phenotype	insecticide
AB0243-C	BF11-19	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	87718744	28.93	NA	NA
AB0244-C	BF11-20	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	102110064	27.69	NA	NA
AB0246-C	BF11-22	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	109148156	35.09	NA	NA
AB0247-C	BF11-23	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	36592958	12.74	NA	NA
AB0248-C	BF11-25	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	131578688	41.29	NA	NA
AB0249-C	BF11-26	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	72728612	24.17	NA	NA
AB0250-C	BF11-27	BFcol	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	M	F	85271154	27.1	NA	NA
AB0251-C	BF11-28	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	95983920	31.14	NA	NA
AB0252-C	BF11-29	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	45647624	15.38	NA	NA
AB0253-C	BF11-30	BFgam	Burkina_Faso	Sour	Austin_Burt	Sam_O'Loughlin	2012	S	F	217188358	68.27	NA	NA
AB0255-C	BF12-2	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	103763020	31.96	NA	NA
AB0256-C	BF12-3	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	104192420	32.53	NA	NA
AB0257-C	BF12-4	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	112350788	36.13	NA	NA
AB0258-C	BF12-5	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	87932222	29.29	NA	NA
AB0260-C	BF12-7	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	222622690	68.56	NA	NA
AB0261-C	BF12-8	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	118577780	37.72	NA	NA
AB0262-C	BF12-9	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	90283140	29.46	NA	NA
AB0263-C	BF12-10	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	87614236	28.72	NA	NA
AB0264-C	BF12-13	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	92415122	29.5	NA	NA
AB0265-C	BF12-14	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	110571284	33.98	NA	NA
AB0266-C	BF12-15	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	145191910	46.26	NA	NA
AB0267-C	BF12-16	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	105273054	31.58	NA	NA
AB0268-C	BF12-17	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	99074812	31.44	NA	NA
AB0270-C	BF12-20	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	67133348	22.14	NA	NA
AB0271-C	BF12-22	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	157871434	49.52	NA	NA
AB0272-C	BF12-23	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	93388860	29.33	NA	NA
AB0273-C	BF12-24	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	252400726	80.25	NA	NA
AB0274-C	BF12-25	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	108685078	32.81	NA	NA
AB0275-C	BF12-26	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	141236506	39.51	NA	NA
AB0276-C	BF12-27	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	99259424	31.57	NA	NA
AB0277-C	BF12-28	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	251417336	79.2	NA	NA
AB0278-C	BF12-29	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	206265632	66.54	NA	NA
AB0279-C	BF12-30	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	114180260	36.98	NA	NA
AB0280-C	BF12-31	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	192768242	60.86	NA	NA
AB0281-C	BF12-32	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	103403794	32.28	NA	NA
AB0282-C	BF12-33	BFcol	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	M	F	126481642	33.21	NA	NA
AB0283-C	BF10-12	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	87745524	28.23	NA	NA
AB0284-C	BF10-13	BFgam	Burkina_Faso	Pala	Austin_Burt	Sam_O'Loughlin	2012	S	F	90042918	28.74	NA	NA
AC0089-C	1_A1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	94035400	30.28	NA	NA
AC0090-C	1_A4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	109522970	34.43	NA	NA
AC0091-C	1_A5	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	86481608	27.27	NA	NA
AC0092-C	1_A8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101330674	32.73	NA	NA
AC0093-C	1_A10	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	117315684	38.3	NA	NA
AC0094-C	1_A12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	105491856	31.78	NA	NA
AC0095-C	1_B2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	106048336	33.34	NA	NA
AC0096-C	1_B3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	88028600	28.59	NA	NA
AC0097-C	1_B4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	110267524	35.86	NA	NA
AC0098-C	1_B8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	98981950	31.9	NA	NA
AC0099-C	1_B11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	103255648	32.44	NA	NA
AC0100-C	1_B12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100357386	30.9	NA	NA
AC0101-C	1_C3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107673084	34.22	NA	NA
AC0102-C	1_C4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107744558	35.08	NA	NA
AC0103-C	1_C7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	102932858	33.59	NA	NA
AC0104-C	1_C11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	89482314	27.84	NA	NA
AC0105-C	1_C12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	115673294	38.09	NA	NA
AC0106-C	1_D2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	106965458	34.07	NA	NA
AC0107-C	1_D3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	113322186	35.19	NA	NA
AC0108-C	1_D4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85652796	27.35	NA	NA
AC0109-C	1_D5	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107012390	34.02	NA	NA
AC0110-C	1_D6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	108895914	34.86	NA	NA
AC0111-C	1_D7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	93939172	29.73	NA	NA
AC0112-C	1_D9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100571182	33.12	NA	NA
AC0113-C	1_D12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	93009946	30.28	NA	NA
AC0114-C	1_E1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	91092212	30.18	NA	NA
AC0115-C	1_E3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	99332020	32.38	NA	NA
AC0116-C	1_E4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	98900896	32.1	NA	NA
AC0117-C	1_E7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	90270436	29.11	NA	NA
AC0118-C	1_E10	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85987806	27.52	NA	NA
AC0119-C	1_E11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101932378	32.83	NA	NA
AC0120-C	1_E12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	87428636	27.98	NA	NA
AC0121-C	1_F1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	111900508	35.66	NA	NA
AC0122-C	1_F2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107330188	34.16	NA	NA
AC0123-C	1_F3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	91715112	28.99	NA	NA
AC0124-C	1_F4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	97121140	31.05	NA	NA
AC0125-C	1_F6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	125997246	39.15	NA	NA
AC0126-C	1_F7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	88489128	29.21	NA	NA
AC0127-C	1_F9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	94829928	31.07	NA	NA
AC0128-C	1_F11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	92912148	30.2	NA	NA
AC0129-C	1_F12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	96976052	31.19	NA	NA
AC0130-C	1_G1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100361652	32.91	NA	NA
AC0131-C	1_G3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	116888076	37.01	NA	NA
AC0132-C	1_G4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85634032	27.85	NA	NA
AC0133-C	1_G7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	94947786	30.58	NA	NA
AC0134-C	1_G10	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	180933378	55.75	NA	NA
AC0135-C	1_G11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	90153942	27.88	NA	NA
AC0136-C	1_G12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107059698	34.19	NA	NA
AC0137-C	1_H1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	95179730	29.72	NA	NA
AC0138-C	1_H2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	91399874	30.35	NA	NA
AC0139-C	1_H3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	91630238	29.16	NA	NA
AC0140-C	1_H8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	74409468	24.17	NA	NA
AC0141-C	1_H11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	108132446	34.96	NA	NA
AC0142-C	2_A1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	95546676	31.14	NA	NA
AC0143-C	2_A2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	115154756	37.45	NA	NA
AC0144-C	2_A6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85728366	28.32	NA	NA
AC0145-C	2_A9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100722028	32.76	NA	NA
AC0146-C	2_B1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	81683160	27.21	NA	NA
AC0147-C	2_B4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	103067954	33.37	NA	NA
AC0148-C	2_B6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85836806	28.56	NA	NA
AC0149-C	2_B7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	83861158	27.25	NA	NA
AC0150-C	2_B8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	115980372	38.25	NA	NA
AC0151-C	2_B10	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	88088890	28.72	NA	NA
AC0152-C	2_B11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	106332160	34.99	NA	NA
AC0153-C	2_B12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	86006636	28.51	NA	NA
AC0154-C	2_C2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	102685954	30.94	NA	NA
AC0155-C	2_C3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	102374840	30.11	NA	NA
AC0156-C	2_C4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	99395636	31.16	NA	NA
AC0157-C	2_C6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100742162	31.74	NA	NA
AC0158-C	2_C7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	93641794	30.52	NA	NA
AC0159-C	2_C8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	112933872	36.25	NA	NA
AC0160-C	2_C12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	124004896	39.51	NA	NA
AC0161-C	2_D4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107974166	34.01	NA	NA
AC0162-C	2_D5	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	97016692	30.88	NA	NA
AC0163-C	2_D8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	88814484	28.46	NA	NA
AC0164-C	2_D9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101111214	32.89	NA	NA
AC0166-C	2_E1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	104830328	31.12	NA	NA
AC0167-C	2_E2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	104900694	34.95	NA	NA
AC0168-C	2_E3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101137204	30.42	NA	NA
AC0169-C	2_E5	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100146748	32.29	NA	NA
AC0170-C	2_E6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	97593794	31.85	NA	NA
AC0171-C	2_E9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85712344	27.92	NA	NA
AC0172-C	2_E10	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	78324778	23.85	NA	NA
AC0173-C	2_E11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	88276556	27.35	NA	NA
AC0174-C	2_F1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	89098292	26.35	NA	NA
AC0176-C	2_F3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	92854606	28.6	NA	NA
AC0177-C	2_F4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	107509408	32.88	NA	NA
AC0178-C	2_F5	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101847098	32.43	NA	NA
AC0179-C	2_F9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	96285312	30.67	NA	NA
AC0180-C	2_F11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101375556	31.14	NA	NA
AC0181-C	2_G4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	111692048	36.1	NA	NA
AC0182-C	2_G5	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	96136322	30.6	NA	NA
AC0183-C	2_G6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	96544540	30.62	NA	NA
AC0184-C	2_G7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	115580234	36.25	NA	NA
AC0185-C	2_G9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	86037892	28.23	NA	NA
AC0186-C	2_G11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	118876252	38.86	NA	NA
AC0187-C	2_G12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	104570140	34.28	NA	NA
AC0188-C	2_H3	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	96276944	30.94	NA	NA
AC0189-C	2_H4	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	77895310	25.49	NA	NA
AC0190-C	2_H6	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	93191810	29.83	NA	NA
AC0191-C	2_H7	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	101530528	32.86	NA	NA
AC0192-C	2_H8	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	85305834	26.96	NA	NA
AC0193-C	2_H9	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	95787526	30.48	NA	NA
AC0194-C	2_H10	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	116550234	34.52	NA	NA
AC0195-C	2_H11	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	121525430	38.55	NA	NA
AC0196-C	2_H12	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	112296076	35.06	NA	NA
AC0197-C	3_A1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	91277002	29.36	NA	NA
AC0199-C	3_D1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	126994178	41.56	NA	NA
AC0200-C	3_D2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	105827722	34.29	NA	NA
AC0201-C	3_E1	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	100594190	32.87	NA	NA
AC0202-C	3_G2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	139854082	44.69	NA	NA
AC0203-C	3_H2	UGgam	Uganda	Nagongera,_Tororo	Martin_Donnelly	Craig_Wilding	2012	S	F	111260978	35.04	NA	NA
AG0082-C	2518	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	93088052	30.53	NA	NA
AG0085-C	2521	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	103517758	32.14	NA	NA
AG0089-C	2525	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	114898838	35.13	NA	NA
AG0096-C	2532	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	105627176	32.73	NA	NA
AG0097-C	2533	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	95764982	23.23	NA	NA
AG0098-C	2534	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	106380856	31.44	NA	NA
AG0100-C	2536	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	99062072	31.01	NA	NA
AG0102-C	2538	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	101620214	15.59	NA	NA
AG0104-C	2540	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	114893394	33.2	NA	NA
AG0106-C	2542	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	112836980	35.62	NA	NA
AG0108-C	2544	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	101180674	26.17	NA	NA
AG0109-C	2545	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	93946208	29.15	NA	NA
AG0111-C	2547	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	115927674	27.29	NA	NA
AG0118-C	2554	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	89787754	27.85	NA	NA
AG0120-C	2556	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	111333074	34.31	NA	NA
AG0121-C	2557	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	102242720	30.72	NA	NA
AG0123-C	2559	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	98439046	31.12	NA	NA
AG0125-C	2561	GM	Gambia,_The	KSK	Martin_Donnelly		2011		F	116612874	35.05	NA	NA
AG0126-C	2562	GM	Gambia,_The	KSK	Martin_Donnelly		2011		F	112143610	35.52	NA	NA
AG0127-C	2563	GM	Gambia,_The	KSK	Martin_Donnelly		2011		F	106442138	33.32	NA	NA
AG0128-C	2595	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	92288274	28.51	NA	NA
AG0129-C	2596	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	87220392	20.01	NA	NA
AG0133-C	2600	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	104058934	30.95	NA	NA
AG0134-C	2601	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	102146260	23.42	NA	NA
AG0136-C	2603	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	92499044	22.22	NA	NA
AG0137-C	2604	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	96961410	30.29	NA	NA
AG0138-C	2605	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	107496034	32.26	NA	NA
AG0139-C	2606	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	96301520	29.87	NA	NA
AG0141-C	2608	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	88773448	28.71	NA	NA
AG0142-C	2609	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	100858634	31.89	NA	NA
AG0143-C	2610	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	105758948	33.17	NA	NA
AG0144-C	2611	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	99695766	31.54	NA	NA
AG0145-C	2612	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	107613436	20.52	NA	NA
AG0146-C	2613	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	90476112	28.28	NA	NA
AG0147-C	2614	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	93346656	30.15	NA	NA
AG0148-C	2615	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	109978602	33.94	NA	NA
AG0152-C	2619	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	101127004	31.1	NA	NA
AG0153-C	2620	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	96743242	22.16	NA	NA
AG0156-C	2623	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	105039056	31.45	NA	NA
AG0159-C	2626	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	93000786	30.31	NA	NA
AG0162-C	2629	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	106342658	33.53	NA	NA
AG0163-C	2630	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	94671110	22.26	NA	NA
AG0169-C	2636	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	86220452	28.38	NA	NA
AG0170-C	2637	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	101918016	30.22	NA	NA
AG0172-C	2639	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	110302986	35.13	NA	NA
AG0178-C	2676	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	97985126	31.05	NA	NA
AG0179-C	2677	GM	Gambia,_The	KBK	Martin_Donnelly		2011		F	109586036	34.91	NA	NA
AG0181-C	2679	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	114190006	24.03	NA	NA
AG0183-C	2681	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	104161250	31.81	NA	NA
AG0195-C	2693	GM	Gambia,_The	SIB	Martin_Donnelly		2011		F	85840156	26.27	NA	NA
AG0197-C	2695	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	107865828	33.77	NA	NA
AG0202-C	2700	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	121089526	37.47	NA	NA
AG0203-C	2701	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	126233400	36.19	NA	NA
AG0204-C	2702	GM	Gambia,_The	MSN	Martin_Donnelly		2011		F	116858066	36.06	NA	NA
